"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
487,361.42,272.08990,,,,ION=[M+H]+,,,242563.42,45895.94,95670.16,72749.36,30019.80,34918.67,242563.42,20894.49,23552.57
488,361.42,328.15234,,,,ION=[M+H]+,,,1273761.25,251245.85,508337.89,380057.59,170551.48,203128.48,1273761.25,111620.36,139632.05
489,361.42,447.28304,,,,ION=[M+H]+,,,347883.16,93230.35,158977.69,92145.02,84932.66,102613.38,347883.16,58872.91,70177.00
490,361.43,184.07374,,,,ION=[M+H]+,,,32982.80,5808.70,12717.82,8855.10,3855.73,4715.27,32982.80,2213.48,2957.18
491,361.49,212.06885,,,,ION=[M+H]+,,,80058.91,13808.82,31126.79,20831.30,9680.59,10914.58,80058.91,5910.49,7410.97
492,361.50,216.02735,,,,ION=[M+H]+,,,60963.40,10194.92,23884.95,15484.09,7741.68,7358.98,60963.40,4730.23,5961.23
493,361.58,258.14711,,,,ION=[M+H]+,,,82495.96,14930.50,32877.65,22973.01,9234.10,12584.38,82495.96,7250.93,8886.07
494,361.99,87.10461,,,,ION=[M+H]+,,,65239.73,30359.32,25129.79,26814.24,59710.40,4553.31,65239.73,7243.06,2906.58
495,362.65,73.08890,,,,ION=[M+H]+,,,302735.31,164846.52,110164.04,174363.20,151692.23,168484.13,302735.31,18928.15,8828.66
496,363.12,529.34051,,,,ION=[M+H]+,,,15662.29,10982.28,11353.44,11801.99,10325.53,10819.33,3520.80,15662.29,14877.24
497,363.38,501.30854,58.149,"SL 14:3;O/12:0;O","C26H47NO6S",ION=[M+H]+,,,6444.24,5065.55,4345.04,6444.24,4525.37,4227.02,3171.91,5497.47,4365.74
498,364.40,412.25852,,,,ION=[M+H]+,,,16135.30,5812.96,9846.81,345.57,958.01,16135.30,7522.00,10521.67,11496.77
499,366.98,129.15166,,,,ION=[M+H]+,,,200270.23,78845.66,181212.65,25604.20,200270.23,10662.54,183477.38,182211.41,177949.17
500,367.81,643.48665,,,,ION=[M+H]+,,,49653.36,35411.83,46289.71,37505.46,30903.72,37826.30,46233.61,42982.17,49653.36
501,368.06,599.46076,,,,ION=[M+H]+,,,87167.02,75840.73,73459.03,82069.93,78468.25,66984.00,54862.82,78347.26,87167.02
502,368.16,687.51206,106.358,"DGTS 15:1_16:4","C41H69NO7",ION=[M+H]+,,,21209.40,13393.58,19972.40,14734.02,11445.88,14000.84,19726.64,18981.15,21209.40
503,368.95,560.38946,,,,ION=[M+H]+,,,40573.07,25398.98,18213.34,40573.07,18399.66,17224.20,18485.87,18644.28,17509.87
504,369.20,555.43482,,,,ION=[M+H]+,,,167517.52,152690.17,156424.10,167517.52,157388.75,133164.23,161266.78,157681.36,150324.16
505,370.19,583.46591,,,,ION=[M+H]+,,,124418.09,84578.01,113012.09,7631.04,124418.09,121684.89,114795.20,108133.22,116107.84
